p	Definite	Indefinite	Total
2	0.417462157	0.439647436	0.431508502
3	0.265689986	0.284803862	0.277791709
5	0.189986014	0.19566386	0.193580875
7	0.143116109	0.158482632	0.15284524
11	0.103538718	0.110977546	0.108248523
13	0.090423451	0.092483534	0.091727768
17	0.069319178	0.068904411	0.069056573
19	0.065185841	0.069884457	0.068160713
23	0.051254026	0.058831485	0.056051604
29	0.045303928	0.045987011	0.045736413
31	0.040486464	0.044957041	0.043316957
37	0.036389915	0.037029801	0.036795052
41	0.031635355	0.031252739	0.031393106
43	0.031587893	0.033756404	0.03296086
47	0.026748743	0.031089442	0.029497005
53	0.026311647	0.026635951	0.026516976
59	0.023682061	0.025294556	0.024702993
61	0.023156377	0.023406862	0.023314968
67	0.021180588	0.022592946	0.022074806
71	0.018129439	0.021352912	0.020170343
73	0.018241682	0.017529205	0.017790585
79	0.017342391	0.019191114	0.018512888
83	0.017455156	0.018573236	0.018163055
89	0.015489886	0.015295579	0.015366863
97	0.014027446	0.013485416	0.013684266
101	0.014630029	0.014795245	0.014734634
103	0.013830184	0.01517267	0.014680163
107	0.014010713	0.014857698	0.014546971
109	0.013632246	0.013751392	0.013707682
113	0.01263157	0.012368558	0.012465047
127	0.011287648	0.012348881	0.011959555
131	0.01135052	0.012080802	0.01181289
137	0.010535419	0.010309333	0.010392275
139	0.010898753	0.011536178	0.011302331
149	0.010240864	0.010317336	0.010289281
151	0.009677561	0.010664283	0.010302292
157	0.009807859	0.009829353	0.009821468
163	0.009327239	0.009915796	0.009699877
167	0.008410722	0.009685359	0.009217744
173	0.008984821	0.00899904	0.008993824
179	0.008687129	0.009174528	0.00899572
181	0.008591927	0.008593366	0.008592838
191	0.007186516	0.008503394	0.008020282
193	0.007375534	0.007086536	0.007192558
197	0.007980086	0.008013647	0.008001335
199	0.007458555	0.008209275	0.007933864
